qid,block,query,n,EVENT,고유사건,pE,중복계수,증폭계수,REF,INST,IRR
Q13,안보,생물테러,100,1,1,1.0,1.0,100.0,0.0,74.0,15.0
Q10,산업,화학사고 대응,100,3,2,3.0,1.5,50.0,0.0,78.0,11.0
Q20,안보,북한 생화학무기,100,2,2,2.0,1.0,50.0,1.0,15.0,42.0
Q30,비CBRN,원전 방사선 피폭,100,3,3,3.0,1.0,33.33,4.0,37.0,0.0
Q17,안보,더티밤,100,4,4,4.0,1.0,25.0,0.0,19.0,13.0
Q14,안보,탄저균 테러,100,7,6,7.0,1.17,16.67,1.0,40.0,13.0
Q18,안보,백색가루 신고,59,7,4,11.9,1.75,14.75,0.0,54.2,32.2
Q28,비CBRN,다중이용시설 테러,100,7,7,7.0,1.0,14.29,0.0,88.0,3.0
Q15,안보,북한 핵실험,100,7,7,7.0,1.0,14.29,1.0,19.0,27.0
Q12,안보,사린가스 공격,41,3,3,7.3,1.0,13.67,17.1,4.9,39.0
Q06,산업,유해화학물질 유출,67,6,6,9.0,1.0,11.17,4.5,74.6,7.5
Q11,안보,화학무기 사용,100,11,11,11.0,1.0,9.09,2.0,9.0,49.0
Q19,안보,노비촉,100,25,21,25.0,1.19,4.76,9.0,6.0,15.0
Q23,비CBRN,드론 공격,100,22,22,22.0,1.0,4.55,1.0,7.0,28.0
Q07,산업,톨루엔 누출,100,40,26,40.0,1.54,3.85,1.0,45.0,2.0
Q05,산업,화학공장 폭발,100,47,26,47.0,1.81,3.85,1.0,14.0,13.0
Q03,산업,염소 가스 누출,100,35,26,35.0,1.35,3.85,1.0,40.0,14.0
Q16,안보,방사능 유출,100,28,27,28.0,1.04,3.7,3.0,17.0,21.0
Q02,산업,암모니아 누출 사고,100,50,27,50.0,1.85,3.7,1.0,32.0,5.0
Q01,산업,불산 누출,100,40,32,40.0,1.25,3.12,7.0,23.0,16.0
Q08,산업,질산 누출,100,73,34,73.0,2.15,2.94,0.0,18.0,4.0
Q22,비CBRN,사제폭탄,100,40,36,40.0,1.11,2.78,10.0,7.0,28.0
Q25,비CBRN,차량 돌진 테러,100,59,37,59.0,1.59,2.7,7.0,13.0,10.0
Q04,산업,황산 유출 사고,100,69,37,69.0,1.86,2.7,3.0,18.0,5.0
Q09,산업,유독가스 누출 대피,100,55,41,55.0,1.34,2.44,4.0,16.0,14.0
Q21,비CBRN,폭발물 테러,100,48,45,48.0,1.07,2.22,3.0,28.0,13.0
Q29,비CBRN,공항 폭발물 신고,100,55,45,55.0,1.22,2.22,0.0,23.0,13.0
Q24,비CBRN,총기 난사,100,53,48,53.0,1.1,2.08,6.0,6.0,20.0
Q27,비CBRN,테러 예고 글,100,53,49,53.0,1.08,2.04,1.0,11.0,21.0
Q26,비CBRN,폭발물 협박,100,69,64,69.0,1.08,1.56,6.0,11.0,9.0
