sid,qid,block,query,뉴스 식별자,일자,언론사,사건/사고 분류1,year,label,ev_date,ev_place,ev_object,event_id
S00001,Q04,산업,황산 유출 사고,1101001.202410311,20241031,한겨레,,2024,OTHER,,,,
S00002,Q17,안보,더티밤,1100611.20221026,20221026,서울신문,사회>사회갈등>테러행위,2022,OTHER,,,,
S00003,Q20,안보,북한 생화학무기,2100501.202207141,20220714,파이낸셜뉴스,,2022,INST,,,,
S00004,Q26,비CBRN,폭발물 협박,2100101.202508121,20250812,매일경제,사고>산업사고>폭발,2025,INST,,,,
S00005,Q26,비CBRN,폭발물 협박,4100058.202605201,20260520,노컷뉴스,,2026,INST,,,,
S00006,Q05,산업,화학공장 폭발,1100201.202202181,20220218,국민일보,사고>산업사고>폭발,2022,EVENT,20220211,여수시,폭발,14.0
S00007,Q25,비CBRN,차량 돌진 테러,1100901.202412212,20241221,중앙일보,사고>교통사고>노상사고,2024,INST,,,,
S00008,Q14,안보,탄저균 테러,4100058.202405231,20240523,노컷뉴스,,2024,INST,,,,
S00009,Q01,산업,불산 누출,1500701.202212201,20221220,부산일보,사고>산업사고>폭발,2022,REF,,,,
S00010,Q16,안보,방사능 유출,2100501.20250821,20250821,파이낸셜뉴스,사고>산업사고>화재,2025,EVENT,20250821,부산 기장군,원전 연기,471.0
S00011,Q02,산업,암모니아 누출 사고,2100501.202409131,20240913,파이낸셜뉴스,사고>산업사고>화재,2024,INST,,,,
S00012,Q05,산업,화학공장 폭발,1400401.202603041,20260304,중부매일,,2026,OTHER,,,,
S00013,Q30,비CBRN,원전 방사선 피폭,8100401.202305312,20230531,YTN,,2023,INST,,,,
S00014,Q24,비CBRN,총기 난사,2100101.202205021,20220502,매일경제,범죄>범죄일반>살인,2022,REF,,,,
S00015,Q30,비CBRN,원전 방사선 피폭,8100101.202412191,20241219,KBS,,2024,OTHER,,,,
S00016,Q18,안보,백색가루 신고,2100201.20220427,20220427,머니투데이,,2022,EVENT,20220425,인천 부평구,백색가루,40.0
S00017,Q14,안보,탄저균 테러,1100901.2024053,20240530,중앙일보,사고>산업사고>붕괴,2024,EVENT,20240528,,오물 풍선,312.0
S00018,Q02,산업,암모니아 누출 사고,1500901.202406021,20240602,울산매일,,2024,OTHER,,,,
S00019,Q16,안보,방사능 유출,1100701.202506132,20250613,세계일보,사회>사회갈등>전쟁,2025,OTHER,,,,
S00020,Q14,안보,탄저균 테러,2100601.202404021,20240402,한국경제,,2024,IRRELEVANT,,,,
S00021,Q19,안보,노비촉,1100801.202403071,20240307,조선일보,,2024,OTHER,,,,
S00022,Q01,산업,불산 누출,1100101.202401241,20240124,경향신문,,2024,REF,,,,
S00023,Q30,비CBRN,원전 방사선 피폭,8100401.202307071,20230707,YTN,사고>산업사고>붕괴,2023,OTHER,,,,
S00024,Q21,비CBRN,폭발물 테러,1400551.202608051,20260805,충북일보,,2026,INST,,,,
S00025,Q12,안보,사린가스 공격,1100501.202207261,20220726,문화일보,범죄>범죄일반>살인,2022,IRRELEVANT,,,,
S00026,Q22,비CBRN,사제폭탄,4102008.202608261,20260826,쿠키뉴스,,2026,EVENT,20260826,전국,폭발물 협박,665.0
S00027,Q27,비CBRN,테러 예고 글,1100401.202308211,20230821,동아일보,,2023,EVENT,20230821,성남시,테러 예고 글,213.0
S00028,Q17,안보,더티밤,1100901.20221026,20221026,중앙일보,,2022,OTHER,,,,
S00029,Q29,비CBRN,공항 폭발물 신고,1500701.202304181,20230418,부산일보,사회>사회갈등>테러행위,2023,EVENT,20230414,제주시,폭발물 협박,135.0
S00030,Q01,산업,불산 누출,1100901.202211031,20221103,중앙일보,,2022,OTHER,,,,
S00031,Q03,산업,염소 가스 누출,1400501.202608121,20260812,중부일보,,2026,EVENT,20260812,수원시,염소가스,654.0
S00032,Q30,비CBRN,원전 방사선 피폭,1600601.202509181,20250918,새전북신문,사고>산업사고>원자력사고,2025,INST,,,,
S00033,Q09,산업,유독가스 누출 대피,8100201.202405312,20240531,MBC,사고>산업사고>화재,2024,REF,,,,
S00034,Q16,안보,방사능 유출,1100401.20220829,20220829,동아일보,사고>산업사고>화재,2022,EVENT,20220827,자포리자,포격,79.0
S00035,Q26,비CBRN,폭발물 협박,2100701.202512191,20251219,헤럴드경제,사회>사회갈등>테러행위,2025,EVENT,20251219,서울 종로구,폭발물 협박,553.0
S00036,Q14,안보,탄저균 테러,4100078.20220903,20220903,뉴스핌,,2022,OTHER,,,,
S00037,Q29,비CBRN,공항 폭발물 신고,1200101.202606071,20260607,경기일보,,2026,INST,,,,
S00038,Q03,산업,염소 가스 누출,4100058.202307031,20230703,노컷뉴스,사고>산업사고>폭발,2023,EVENT,20230703,군산시,화학물질 누출,153.0
S00039,Q16,안보,방사능 유출,4104008.202507032,20250703,프레시안,,2025,INST,,,,
S00040,Q21,비CBRN,폭발물 테러,1100611.202409041,20240904,서울신문,사고>산업사고>폭발,2024,EVENT,20240831,가자지구,공습,355.0
S00041,Q21,비CBRN,폭발물 테러,8100201.20240809,20240809,MBC,사회>사회갈등>테러행위,2024,EVENT,20240807,빈,폭발물,343.0
S00042,Q03,산업,염소 가스 누출,2100701.20220922,20220922,헤럴드경제,사고>산업사고>폭발,2022,INST,,,,
S00043,Q20,안보,북한 생화학무기,2100201.202301061,20230106,머니투데이,,2023,OTHER,,,,
S00044,Q05,산업,화학공장 폭발,1100801.20250528,20250528,조선일보,사고>산업사고>폭발,2025,EVENT,20250527,웨이팡시,폭발,426.0
S00045,Q02,산업,암모니아 누출 사고,2100701.20260211,20260211,헤럴드경제,,2026,OTHER,,,,
S00046,Q13,안보,생물테러,4100158.202402271,20240227,데일리안,,2024,INST,,,,
S00047,Q05,산업,화학공장 폭발,2100201.202202211,20220221,머니투데이,사고>산업사고>폭발,2022,IRRELEVANT,,,,
S00048,Q25,비CBRN,차량 돌진 테러,8100201.20220321,20220321,MBC,,2022,EVENT,20220320,스트레피-브라케니스,차량 돌진,31.0
S00049,Q22,비CBRN,사제폭탄,1500701.202502041,20250204,부산일보,사회>사회갈등>테러행위,2025,EVENT,20250203,,사제폭탄 예고글,396.0
S00050,Q25,비CBRN,차량 돌진 테러,1100801.202111231,20211123,조선일보,범죄>범죄일반>폭행,2021,EVENT,20211121,밀워키,차량 돌진,8.0
S00051,Q08,산업,질산 누출,1601101.202309091,20230909,전북일보,,2023,EVENT,20230909,군산시,질산,221.0
S00052,Q13,안보,생물테러,1200301.202403131,20240313,기호일보,,2024,INST,,,,
S00053,Q07,산업,톨루엔 누출,7100502.202207201,20220720,환경일보,사고>스포츠사고,2022,OTHER,,,,
S00054,Q22,비CBRN,사제폭탄,1500401.202306122,20230612,국제신문,사회>사회갈등>테러행위,2023,REF,,,,
S00055,Q26,비CBRN,폭발물 협박,4100078.202308051,20230805,뉴스핌,,2023,EVENT,20230805,인천시,협박 글,179.0
S00056,Q16,안보,방사능 유출,1600601.202212011,20221201,새전북신문,사고>산업사고>원자력사고,2022,INST,,,,
S00057,Q06,산업,유해화학물질 유출,1400351.202410292,20241029,중도일보,,2024,IRRELEVANT,,,,
S00058,Q07,산업,톨루엔 누출,1200401.202407291,20240729,인천일보,사고>산업사고>화재,2024,INST,,,,
S00059,Q21,비CBRN,폭발물 테러,4101008.20240105,20240105,이데일리,범죄>범죄일반>살인,2024,EVENT,20240103,케르만,폭탄 테러,261.0
S00060,Q18,안보,백색가루 신고,1400351.202403142,20240314,중도일보,,2024,INST,,,,
S00061,Q06,산업,유해화학물질 유출,4100078.202504011,20250401,뉴스핌,사고>스포츠사고,2025,INST,,,,
S00062,Q16,안보,방사능 유출,1100101.202307302,20230730,경향신문,사고>산업사고>붕괴,2023,OTHER,,,,
S00063,Q21,비CBRN,폭발물 테러,2100311.20250718,20250718,서울경제,사고>산업사고>폭발,2025,EVENT,20250710,안티오키아,지뢰,444.0
S00064,Q08,산업,질산 누출,1100501.202511062,20251106,문화일보,,2025,EVENT,20251105,포항시,유해가스,510.0
S00065,Q13,안보,생물테러,1400601.202311031,20231103,충청일보,범죄>범죄일반>폭행,2023,INST,,,,
S00066,Q09,산업,유독가스 누출 대피,1400401.202606141,20260614,중부매일,사고>산업사고>화재,2026,OTHER,,,,
S00067,Q14,안보,탄저균 테러,4101008.202110061,20211006,이데일리,,2021,IRRELEVANT,,,,
S00068,Q11,안보,화학무기 사용,4100158.20220507,20220507,데일리안,,2022,IRRELEVANT,,,,
S00069,Q23,비CBRN,드론 공격,8100401.202603162,20260316,YTN,사고>산업사고>폭발,2026,OTHER,,,,
S00070,Q23,비CBRN,드론 공격,1100701.202606121,20260612,세계일보,,2026,REF,,,,
S00071,Q18,안보,백색가루 신고,1700101.202411081,20241108,제민일보,,2024,INST,,,,
S00072,Q30,비CBRN,원전 방사선 피폭,1500151.202308062,20230806,경남도민일보,사고>산업사고>붕괴,2023,OTHER,,,,
S00073,Q04,산업,황산 유출 사고,1400701.202208172,20220817,충청투데이,사고>산업사고>폭발,2022,EVENT,20220812,제천시,황산,71.0
S00074,Q02,산업,암모니아 누출 사고,1501101.202506181,20250618,경북도민일보,,2025,INST,,,,
S00075,Q08,산업,질산 누출,1400501.202603182,20260318,중부일보,,2026,EVENT,20260318,수원시,질산,584.0
S00076,Q04,산업,황산 유출 사고,1501201.202604101,20260410,경북매일신문,,2026,EVENT,20260410,달성군,황산,590.0
S00077,Q16,안보,방사능 유출,1100901.202603091,20260309,중앙일보,,2026,OTHER,,,,
S00078,Q17,안보,더티밤,1100611.202210251,20221025,서울신문,사회>사회갈등>테러행위,2022,OTHER,,,,
S00079,Q19,안보,노비촉,1100611.202208262,20220826,서울신문,,2022,IRRELEVANT,,,,
S00080,Q07,산업,톨루엔 누출,1100201.202209011,20220901,국민일보,사고>산업사고>폭발,2022,EVENT,20220831,울산시,폭발,80.0
S00081,Q27,비CBRN,테러 예고 글,6101202.202407191,20240719,주간한국,범죄>범죄일반>폭행,2024,OTHER,,,,
S00082,Q17,안보,더티밤,1620001.202210272,20221027,광남일보,사회>사회갈등>테러행위,2022,OTHER,,,,
S00083,Q11,안보,화학무기 사용,1101101.202311281,20231128,한국일보,사회>사회갈등>전쟁,2023,IRRELEVANT,,,,
