sid,label,ev_date,ev_place,ev_object
S00002,OTHER,,,
S00006,EVENT,20220218,여수,폭발사고
S00008,INST,,,
S00014,REF,,,
S00015,INST,,,
S00017,IRRELEVANT,,,
S00024,INST,,,
S00030,OTHER,,,
S00034,EVENT,20220827,자포리자,원전포격
S00042,OTHER,,,
S00055,IRRELEVANT,,,
S00056,INST,,,
S00060,INST,,,
S00067,IRRELEVANT,,,
S00074,INST,,,
S00080,EVENT,20220901,울산,폴리머공장폭발
S00082,IRRELEVANT,,,
S00086,IRRELEVANT,,,
S00094,INST,,,
S00100,INST,,,
S00105,EVENT,20250710,인천 서구 백석동,염소계화학물질누출
S00118,EVENT,20211005,울산 온산공단,가스누출
S00130,IRRELEVANT,,,
S00134,EVENT,20230320,,핵공격태세시험
S00138,OTHER,,,
S00139,INST,,,
S00143,EVENT,20230803,경남 창원시 마산요금소,황산누출
S00144,INST,,,
S00154,EVENT,20260821,서울 영등포구 선유도역,암모니아누출
S00155,OTHER,,,
S00156,INST,,,
S00159,INST,,,
S00160,INST,,,
S00162,INST,,,
S00163,OTHER,,,
S00165,EVENT,20260318,수원 성균관대,질산누출
S00171,IRRELEVANT,,,
S00177,IRRELEVANT,,,
S00179,INST,,,
S00180,EVENT,20230803,경남 창원시 마산요금소,황산누출
S00188,IRRELEVANT,,,
S00190,OTHER,,,
S00196,IRRELEVANT,,,
S00201,IRRELEVANT,,,
S00203,OTHER,,,
S00213,INST,,,
S00215,EVENT,20220811,자포리자,원전포격
S00218,EVENT,20231025,미국 메인주 루이스턴,총기난사
S00220,OTHER,,,
S00224,INST,,,
S00236,EVENT,20240927,울산 울주군 온산읍,유해물질누출
S00238,EVENT,20250101,미국 루이지애나 뉴올리언스,차량돌진테러
S00243,IRRELEVANT,,,
S00244,EVENT,20220211,전남 여수시 화치동,폭발사고
S00256,INST,,,
S00259,EVENT,20210829,아프가니스탄 카불,드론오폭
S00260,OTHER,,,
S00264,INST,,,
S00269,INST,,,
S00271,EVENT,20250724,전북 전주시,질산누출
S00276,INST,,,
S00282,INST,,,
S00291,EVENT,20251215,경기 성남시 분당구,폭발물설치협박
S00295,IRRELEVANT,,,
S00296,EVENT,20240315,충북 진천군 이월면,유해화학물질누출
S00301,IRRELEVANT,,,
S00309,IRRELEVANT,,,
S00313,EVENT,20260806,전남 완도군 해상,암모니아누출
S00314,INST,,,
S00317,IRRELEVANT,,,
S00321,OTHER,,,
S00323,IRRELEVANT,,,
S00333,IRRELEVANT,,,
S00337,OTHER,,,
S00342,INST,,,
S00347,EVENT,20250226,제주시 한림읍,암모니아누출
S00351,INST,,,
S00353,OTHER,,,
S00358,INST,,,
S00359,INST,,,
S00362,IRRELEVANT,,,
S00368,INST,,,
S00381,INST,,,
S00385,INST,,,
S00390,IRRELEVANT,,,
S00391,IRRELEVANT,,,
S00394,IRRELEVANT,,,
S00396,IRRELEVANT,,,
S00397,IRRELEVANT,,,
S00398,EVENT,20251219,대만 타이베이,흉기난동
S00402,IRRELEVANT,,,
S00403,INST,,,
S00408,EVENT,20260204,제주시 영평동,황산질산혼합가스누출
S00409,IRRELEVANT,,,
S00410,INST,,,
S00420,EVENT,20220211,전남 여수시 화치동,폭발사고
S00424,INST,,,
S00430,INST,,,
S00432,IRRELEVANT,,,
S00436,EVENT,20251105,경북 포항시,가스누출
S00445,INST,,,
S00453,INST,,,
S00464,EVENT,20230818,,폭발물협박이메일
S00465,INST,,,
S00472,IRRELEVANT,,,
S00485,EVENT,20230126,전남 여수시 산단중앙로,톨루엔누출
S00489,EVENT,20260515,호르무즈해협,드론미사일피격추정
S00493,EVENT,20230506,미국 텍사스주 앨런,총기난사
S00498,IRRELEVANT,,,
S00502,OTHER,,,
S00511,OTHER,,,
S00527,EVENT,20260327,이란,핵시설공습
S00528,EVENT,20240701,경북 안동시 임동면,질산누출
S00530,OTHER,,,
S00533,IRRELEVANT,,,
S00535,EVENT,20230414,제주국제공항,폭발물허위신고
S00544,IRRELEVANT,,,
S00548,OTHER,,,
S00556,EVENT,20230813,경기 분당,차량돌진및흉기난동
S00559,EVENT,20230807,전국공항,폭발물설치협박글
S00567,EVENT,20241222,독일,차량돌진테러
S00575,EVENT,20221125,미국 시카고 오헤어공항,폭발물허위신고
S00578,EVENT,20260601,충북 청주,화재유독가스누출
S00579,INST,,,
S00580,INST,,,
S00581,IRRELEVANT,,,
S00584,EVENT,20260727,충남 서천군 오석리,황산누출
S00586,REF,,,
S00590,EVENT,20250701,전남 여수시 낙포동,암모니아누출
S00591,EVENT,20241015,인도 마두라이,폭발물위협
S00593,EVENT,20220922,전남 여수국가산단,유독가스누출
S00598,OTHER,,,
S00600,INST,,,
S00613,EVENT,20260318,수원 성균관대,질산누출
S00614,INST,,,
S00620,INST,,,
S00621,IRRELEVANT,,,
S00633,IRRELEVANT,,,
S00634,IRRELEVANT,,,
S00635,OTHER,,,
S00642,IRRELEVANT,,,
S00643,OTHER,,,
S00644,INST,,,
S00647,EVENT,20230415,일본,폭발물테러
S00648,OTHER,,,
S00656,IRRELEVANT,,,
S00657,IRRELEVANT,,,
S00671,EVENT,20260630,경기 부천시 도당동,암모니아누출
S00675,IRRELEVANT,,,
S00679,EVENT,20240206,인천 현대제철,가스중독
S00680,OTHER,,,
S00683,INST,,,
S00693,INST,,,
S00696,EVENT,20221202,전남 여수시 화치동,질산누출
S00699,OTHER,,,
S00701,INST,,,
S00706,INST,,,
S00714,EVENT,20260812,수원시 영통구,염소가스누출
S00717,EVENT,20240713,미국 펜실베이니아,사제폭탄및총격
S00719,EVENT,20241221,독일 마그데부르크,차량돌진테러
S00728,IRRELEVANT,,,
S00729,EVENT,20250827,인천 공촌하수처리장,약품가스누출
S00736,EVENT,20260821,서울 영등포구,암모니아누출
S00739,INST,,,
S00745,IRRELEVANT,,,
S00747,INST,,,
S00749,OTHER,,,
S00750,EVENT,20220807,자포리자,원전포격
S00752,OTHER,,,
S00755,EVENT,20220711,부산 사하구 감천동,암모니아누출
S00757,EVENT,20231025,일본 후쿠시마,오염수유출
S00762,INST,,,
S00775,INST,,,
S00783,INST,,,
S00785,OTHER,,,
S00788,INST,,,
S00790,INST,,,
S00795,REF,,,
S00796,INST,,,
