sid,질의,일자,언론사,label,ev_date,ev_place,ev_object,memo
S01861,다중이용시설 테러,20240305,경북매일신문,IRRELEVANT,,,,
S02867,생물테러,20250917,브릿지경제,INST,,,,
S02502,테러 예고 글,20231222,매일신문,EVENT,,,,
S00725,폭발물 협박,20260106,이데일리,EVENT,,,,
S01538,생물테러,20250914,서울신문,IRRELEVANT,,,,
S02450,테러 예고 글,20250927,매일경제,EVENT,,,,
S00103,북한 생화학무기,20240622,아시아경제,IRRELEVANT,,,,
S00939,화학공장 폭발,20240626,충청일보,EVENT,,,,
S00527,방사능 유출,20260328,헤럴드경제,OTHER,,,,
S02210,화학공장 폭발,20240710,울산신문,INST,,,,
S02377,북한 핵실험,20220812,문화일보,OTHER,,,,
S02335,폭발물 협박,20250124,아시아투데이,IRRELEVANT,,,,
S02244,노비촉,20220326,서울신문,IRRELEVANT,,,,
S01280,폭발물 협박,20260331,내일신문,IRRELEVANT,,,,
S02215,톨루엔 누출,20230801,매일신문,IRRELEVANT,,,,
S02656,더티밤,20221024,전자신문,OTHER,,,,
S02467,테러 예고 글,20211028,광남일보,IRRELEVANT,,,,
S02501,북한 핵실험,20221010,중앙일보,IRRELEVANT,,,,
S02828,노비촉,20240216,강원일보,IRRELEVANT,,,,
S02806,더티밤,20221027,아시아경제,OTHER,,,,
S02366,탄저균 테러,20231101,중부매일,OTHER,,,,
S00195,탄저균 테러,20251102,경기일보,IRRELEVANT,,,,
S00554,폭발물 협박,20230817,경향신문,EVENT,,,,
S02523,북한 생화학무기,20221227,이데일리,IRRELEVANT,,,,
S02269,백색가루 신고,20220612,국민일보,EVENT,,,,
S00300,탄저균 테러,20220928,서울신문,EVENT,,,,
S02647,총기 난사,20221204,인천일보,REF,,,,
S00288,화학무기 사용,20250404,경상일보,IRRELEVANT,,,,
S01335,총기 난사,20230516,OBS,REF,,,,
S00325,더티밤,20221028,아시아경제,IRRELEVANT,,,,
S00017,탄저균 테러,20240530,중앙일보,IRRELEVANT,,,,
S00215,방사능 유출,20220819,YTN,OTHER,,,,
S00710,생물테러,20231206,머니투데이,IRRELEVANT,,,,
S02553,질산 누출,20251014,전북일보,EVENT,,,,
S02400,북한 핵실험,20221102,강원일보,IRRELEVANT,,,,
S02150,화학무기 사용,20230227,브레이크뉴스,IRRELEVANT,,,,
S02165,탄저균 테러,20231119,디지털타임스,IRRELEVANT,,,,
S02195,사린가스 공격,20220416,동아일보,IRRELEVANT,,,,
S00447,원전 방사선 피폭,20240507,KBS,IRRELEVANT,,,,
S02808,북한 생화학무기,20220503,국민일보,IRRELEVANT,,,,
S01927,불산 누출,20221102,대한경제,IRRELEVANT,,,,
S02293,화학무기 사용,20220413,한겨레,EVENT,,,,
S00915,방사능 유출,20230901,매일신문,IRRELEVANT,,,,
S02254,더티밤,20230705,한국일보,IRRELEVANT,,,,
S02288,폭발물 테러,20260312,YTN,IRRELEVANT,,,,
S01050,화학무기 사용,20220314,KBS,OTHER,,,,
S00448,폭발물 테러,20260221,YTN,INST,,,,
S02338,염소 가스 누출,20220929,KBS,EVENT,,,,
S01199,염소 가스 누출,20260812,YTN,EVENT,,,,
S00620,염소 가스 누출,20241114,헤럴드경제,IRRELEVANT,,,,
S00431,노비촉,20240219,문화일보,IRRELEVANT,,,,
S02864,백색가루 신고,20260707,국민일보,INST,,,,
S01654,노비촉,20240307,세계일보,IRRELEVANT,,,,
S02606,노비촉,20220329,한국일보,IRRELEVANT,,,,
S01764,암모니아 누출 사고,20230703,전북일보,EVENT,,,,
