qid,query,block,n,rate,lo,hi
Q01,불산 누출,산업,363,0.10743801652892562,0.07713498622589532,0.14049586776859505
Q30,원전 방사선 피폭,비CBRN,1008,0.03968253968253968,0.027777777777777776,0.05257936507936508
Q08,질산 누출,산업,216,0.037037037037037035,0.013888888888888888,0.06481481481481481
Q16,방사능 유출,안보,2704,0.03661242603550296,0.029955621301775148,0.04400887573964497
Q14,탄저균 테러,안보,309,0.03559870550161812,0.016181229773462782,0.05825242718446602
Q05,화학공장 폭발,산업,526,0.030418250950570342,0.017110266159695818,0.045627376425855515
Q10,화학사고 대응,산업,2224,0.03012589928057554,0.023381294964028777,0.03732014388489208
Q06,유해화학물질 유출,산업,67,0.029850746268656716,0.0,0.07462686567164178
Q02,암모니아 누출 사고,산업,475,0.02526315789473684,0.01263157894736842,0.04
Q07,톨루엔 누출,산업,123,0.024390243902439025,0.0,0.056910569105691054
Q19,노비촉,안보,224,0.022321428571428572,0.004464285714285714,0.044642857142857144
Q09,유독가스 누출 대피,산업,144,0.020833333333333332,0.0,0.04861111111111111
Q04,황산 유출 사고,산업,254,0.01968503937007874,0.003937007874015748,0.03937007874015748
Q25,차량 돌진 테러,비CBRN,1354,0.016986706056129987,0.0103397341211226,0.024372230428360415
Q18,백색가루 신고,안보,59,0.01694915254237288,0.0,0.05084745762711865
Q03,염소 가스 누출,산업,241,0.016597510373443983,0.004149377593360996,0.03319502074688797
Q22,사제폭탄,비CBRN,487,0.01642710472279261,0.006160164271047228,0.028747433264887063
Q21,폭발물 테러,비CBRN,7040,0.013068181818181817,0.010511363636363636,0.015767045454545454
Q20,북한 생화학무기,안보,336,0.011904761904761904,0.002976190476190476,0.023809523809523808
Q24,총기 난사,비CBRN,8135,0.011432083589428396,0.00921942224953903,0.013767670559311617
Q11,화학무기 사용,안보,1043,0.006711409395973154,0.0019175455417066154,0.011505273250239693
Q29,공항 폭발물 신고,비CBRN,301,0.006644518272425249,0.0,0.016611295681063124
Q13,생물테러,안보,1443,0.006237006237006237,0.002772002772002772,0.010395010395010396
Q23,드론 공격,비CBRN,48812,0.005347045808407769,0.004691469310825207,0.00600262230599033
Q28,다중이용시설 테러,비CBRN,1348,0.0051928783382789315,0.001483679525222552,0.009643916913946587
Q26,폭발물 협박,비CBRN,4193,0.0038158836155497257,0.002146434533746721,0.005962318149296446
Q27,테러 예고 글,비CBRN,2611,0.0034469551895825352,0.0015319800842589046,0.005744925315970892
Q15,북한 핵실험,안보,23291,0.0021038169249924864,0.0015456614142801942,0.0027049074749903395
Q12,사린가스 공격,안보,41,0.0,0.0,0.0
Q17,더티밤,안보,238,0.0,0.0,0.0
