block,query,n,n_event,pE_human,pE_cond_human,empty_cells,pE_model
conventional,공항 폭발물 신고,4,2,0.55,1.0,0,0.55
conventional,다중이용시설 테러,4,0,0.0,0.0,1,0.07
conventional,드론 공격,7,2,0.22,0.5851063829787234,0,0.22
conventional,사제폭탄,7,4,0.4,0.5,0,0.4
conventional,원전 방사선 피폭,4,0,0.0,0.0,1,0.03
conventional,차량 돌진 테러,7,1,0.19666666666666666,1.0,0,0.59
conventional,총기 난사,4,1,0.53,0.6284584980237155,0,0.53
conventional,테러 예고 글,13,7,0.53,0.6928104575163399,0,0.53
conventional,폭발물 테러,7,2,0.48,0.6976744186046512,0,0.48
conventional,폭발물 협박,10,7,0.69,0.8697478991596639,0,0.69
industrial,불산 누출,7,1,0.15,0.5294117647058824,0,0.4
industrial,암모니아 누출 사고,6,3,0.5,0.7500000000000001,0,0.5
industrial,염소 가스 누출,9,6,0.3,0.48,0,0.35
industrial,유독가스 누출 대피,6,2,0.55,0.6197183098591549,0,0.55
industrial,유해화학물질 유출,7,0,0.0,0.0,0,0.08955223880597014
industrial,질산 누출,10,6,0.6257142857142857,1.0,0,0.73
industrial,톨루엔 누출,6,0,0.0,,0,0.4
industrial,화학공장 폭발,11,4,0.4282142857142857,0.5857352222765021,0,0.47
industrial,화학사고 대응,7,0,0.0,0.0,1,0.03
industrial,황산 유출 사고,5,3,0.69,1.0,0,0.69
security,노비촉,39,1,0.01,1.0,0,0.25
security,더티밤,21,0,0.0,0.0,0,0.04
security,방사능 유출,23,1,0.02,0.047619047619047616,0,0.28
security,백색가루 신고,16,8,0.29755178907721286,0.6030534351145039,0,0.11864406779661017
security,북한 생화학무기,24,0,0.0,0.0,0,0.02
security,북한 핵실험,22,0,0.0,0.0,0,0.07
security,사린가스 공격,10,0,0.0,,0,0.07317073170731707
security,생물테러,16,1,0.01,0.03649635036496351,0,0.01
security,탄저균 테러,22,2,0.02,0.03125,0,0.07
security,화학무기 사용,26,9,0.18866666666666668,0.5008849557522125,0,0.11
