qid,block,V,pred_EVENT,unique_events,m_corpus,A_corpus
Q01,industrial,363,127,56,2.267857142857143,6.482142857142857
Q02,industrial,475,227,66,3.4393939393939394,7.196969696969697
Q03,industrial,241,86,40,2.15,6.025
Q04,industrial,254,176,69,2.550724637681159,3.681159420289855
Q05,industrial,526,286,154,1.8571428571428572,3.4155844155844157
Q06,industrial,67,6,6,1.0,11.166666666666666
Q07,industrial,123,49,20,2.45,6.15
Q08,industrial,216,148,54,2.740740740740741,4.0
Q09,industrial,144,77,41,1.8780487804878048,3.5121951219512195
Q10,industrial,2224,72,52,1.3846153846153846,42.76923076923077
Q11,security,1043,80,39,2.051282051282051,26.743589743589745
Q12,security,41,2,2,1.0,20.5
Q13,security,1443,33,15,2.2,96.2
Q14,security,309,13,9,1.4444444444444444,34.333333333333336
Q15,security,23291,243,139,1.7482014388489209,167.5611510791367
Q16,security,2704,385,189,2.037037037037037,14.306878306878307
Q17,security,238,6,4,1.5,59.5
Q18,security,59,4,4,1.0,14.75
Q19,security,224,46,21,2.1904761904761907,10.666666666666666
Q20,security,336,4,4,1.0,84.0
Q21,conventional,7040,3244,1268,2.558359621451104,5.55205047318612
Q22,conventional,487,219,88,2.4886363636363638,5.534090909090909
Q23,conventional,48812,7403,3396,2.1799175500588928,14.373380447585395
Q24,conventional,8135,5002,1699,2.94408475573867,4.788110653325486
Q25,conventional,1354,858,352,2.4375,3.846590909090909
Q26,conventional,4193,3272,892,3.6681614349775784,4.70067264573991
Q27,conventional,2611,1441,577,2.4974003466204504,4.525129982668977
Q28,conventional,1348,93,43,2.1627906976744184,31.348837209302324
Q29,conventional,301,178,78,2.282051282051282,3.858974358974359
Q30,conventional,1008,41,20,2.05,50.4
