sid,qid,block,query,ev_place,dom
S00006,Q05,산업,화학공장 폭발,여수시,domestic
S00010,Q16,안보,방사능 유출,부산 기장군,domestic
S00016,Q18,안보,백색가루 신고,인천 부평구,domestic
S00017,Q14,안보,탄저균 테러,,foreign_by_text
S00026,Q22,비CBRN,사제폭탄,전국,domestic
S00027,Q27,비CBRN,테러 예고 글,성남시,domestic
S00029,Q29,비CBRN,공항 폭발물 신고,제주시,domestic
S00031,Q03,산업,염소 가스 누출,수원시,domestic
S00034,Q16,안보,방사능 유출,자포리자,foreign
S00035,Q26,비CBRN,폭발물 협박,서울 종로구,domestic
S00038,Q03,산업,염소 가스 누출,군산시,domestic
S00040,Q21,비CBRN,폭발물 테러,가자지구,foreign
S00041,Q21,비CBRN,폭발물 테러,빈,foreign_by_text
S00044,Q05,산업,화학공장 폭발,웨이팡시,domestic
S00048,Q25,비CBRN,차량 돌진 테러,스트레피-브라케니스,foreign_by_text
S00049,Q22,비CBRN,사제폭탄,,unknown
S00050,Q25,비CBRN,차량 돌진 테러,밀워키,foreign_by_text
S00051,Q08,산업,질산 누출,군산시,domestic
S00055,Q26,비CBRN,폭발물 협박,인천시,domestic
S00059,Q21,비CBRN,폭발물 테러,케르만,foreign_by_text
S00063,Q21,비CBRN,폭발물 테러,안티오키아,unknown
S00064,Q08,산업,질산 누출,포항시,domestic
S00073,Q04,산업,황산 유출 사고,제천시,domestic
S00075,Q08,산업,질산 누출,수원시,domestic
S00076,Q04,산업,황산 유출 사고,달성군,domestic
S00080,Q07,산업,톨루엔 누출,울산시,domestic
S00085,Q03,산업,염소 가스 누출,대전 서구,domestic
S00090,Q08,산업,질산 누출,수원시,domestic
S00091,Q25,비CBRN,차량 돌진 테러,뉴올리언스,foreign
S00093,Q16,안보,방사능 유출,이란,foreign
S00098,Q14,안보,탄저균 테러,,foreign_by_text
S00105,Q03,산업,염소 가스 누출,인천 서구,domestic
S00112,Q26,비CBRN,폭발물 협박,서울 용산구,domestic
S00114,Q04,산업,황산 유출 사고,서울 성동구,domestic
S00115,Q25,비CBRN,차량 돌진 테러,독일,foreign
S00119,Q25,비CBRN,차량 돌진 테러,마그데부르크,foreign_by_text
S00121,Q02,산업,암모니아 누출 사고,오산시,domestic
S00123,Q16,안보,방사능 유출,경주시,domestic
S00127,Q22,비CBRN,사제폭탄,,unknown
S00128,Q08,산업,질산 누출,여수시,domestic
S00131,Q03,산업,염소 가스 누출,의정부시,domestic
S00136,Q11,안보,화학무기 사용,우크라이나,foreign
S00143,Q04,산업,황산 유출 사고,창원시,domestic
S00145,Q04,산업,황산 유출 사고,서울 성동구,domestic
S00146,Q22,비CBRN,사제폭탄,,unknown
S00147,Q28,비CBRN,다중이용시설 테러,부산 사하구,domestic
S00149,Q27,비CBRN,테러 예고 글,,unknown
S00153,Q29,비CBRN,공항 폭발물 신고,부산시,domestic
S00154,Q02,산업,암모니아 누출 사고,서울 영등포구,domestic
S00157,Q01,산업,불산 누출,화성시,domestic
S00158,Q21,비CBRN,폭발물 테러,나이아가라폴스,foreign_by_text
S00161,Q09,산업,유독가스 누출 대피,부산 사상구,domestic
S00165,Q08,산업,질산 누출,수원시,domestic
S00166,Q24,비CBRN,총기 난사,살라망카시,domestic
S00180,Q04,산업,황산 유출 사고,창원시,domestic
S00181,Q25,비CBRN,차량 돌진 테러,워싱턴DC,foreign_by_text
S00183,Q25,비CBRN,차량 돌진 테러,뉴올리언스,foreign
S00189,Q05,산업,화학공장 폭발,화성시,domestic
S00202,Q26,비CBRN,폭발물 협박,수원시,domestic
S00203,Q19,안보,노비촉,러시아,foreign
S00206,Q27,비CBRN,테러 예고 글,서울시,domestic
S00208,Q24,비CBRN,총기 난사,프리토리아,foreign_by_text
S00209,Q08,산업,질산 누출,수원시,domestic
S00210,Q08,산업,질산 누출,포항시,domestic
S00212,Q18,안보,백색가루 신고,대구 수성구,domestic
S00215,Q16,안보,방사능 유출,자포리자,foreign
S00216,Q24,비CBRN,총기 난사,앨버커키,foreign_by_text
S00218,Q24,비CBRN,총기 난사,루이스턴,foreign_by_text
S00225,Q08,산업,질산 누출,후쿠시마,foreign
S00226,Q22,비CBRN,사제폭탄,광주 서구,domestic
S00227,Q29,비CBRN,공항 폭발물 신고,,foreign_by_text
S00230,Q19,안보,노비촉,러시아,foreign
S00232,Q07,산업,톨루엔 누출,오산시,domestic
S00235,Q29,비CBRN,공항 폭발물 신고,광주 광산구,domestic
S00236,Q07,산업,톨루엔 누출,울주군,domestic
S00238,Q21,비CBRN,폭발물 테러,뉴올리언스,foreign
S00239,Q26,비CBRN,폭발물 협박,부산 사하구,domestic
S00244,Q07,산업,톨루엔 누출,여수시,domestic
S00245,Q24,비CBRN,총기 난사,슈리브포트,foreign_by_text
S00246,Q19,안보,노비촉,러시아,foreign
S00247,Q19,안보,노비촉,우크라이나,foreign
S00251,Q09,산업,유독가스 누출 대피,청주시,domestic
S00252,Q14,안보,탄저균 테러,제주시,domestic
S00259,Q23,비CBRN,드론 공격,카불,foreign
S00263,Q04,산업,황산 유출 사고,서울 성동구,domestic
S00271,Q08,산업,질산 누출,전주시,domestic
S00281,Q27,비CBRN,테러 예고 글,대구시,domestic
S00286,Q06,산업,유해화학물질 유출,음성군,domestic
S00290,Q03,산업,염소 가스 누출,의정부시,domestic
S00291,Q26,비CBRN,폭발물 협박,성남시 분당구,domestic
S00292,Q05,산업,화학공장 폭발,여수시,domestic
S00296,Q06,산업,유해화학물질 유출,진천군 이월면,domestic
S00297,Q04,산업,황산 유출 사고,창원시 의창구,domestic
S00299,Q05,산업,화학공장 폭발,영천시 금호읍,domestic
S00300,Q14,안보,탄저균 테러,제주시 조천읍,domestic
S00302,Q03,산업,염소 가스 누출,의정부시,domestic
S00304,Q04,산업,황산 유출 사고,대구 달성군,domestic
S00312,Q08,산업,질산 누출,대구 북구,domestic
S00313,Q02,산업,암모니아 누출 사고,완도군,domestic
S00320,Q08,산업,질산 누출,완주군 봉동읍,domestic
S00324,Q08,산업,질산 누출,안동시 임동면,domestic
S00326,Q01,산업,불산 누출,포항시 남구,domestic
S00330,Q26,비CBRN,폭발물 협박,서울 구로구,domestic
S00334,Q23,비CBRN,드론 공격,이란,foreign
S00338,Q25,비CBRN,차량 돌진 테러,뉴올리언스,foreign
S00339,Q07,산업,톨루엔 누출,화성시,domestic
S00347,Q02,산업,암모니아 누출 사고,제주시 한림읍,domestic
S00350,Q26,비CBRN,폭발물 협박,서울,domestic
S00354,Q29,비CBRN,공항 폭발물 신고,김해공항,unknown
S00360,Q22,비CBRN,사제폭탄,가나가와현 가마쿠라시,domestic
S00363,Q02,산업,암모니아 누출 사고,제주시 한림읍,domestic
S00364,Q07,산업,톨루엔 누출,오산시 누읍동,domestic
S00365,Q29,비CBRN,공항 폭발물 신고,영국,foreign
S00366,Q22,비CBRN,사제폭탄,,unknown
S00370,Q09,산업,유독가스 누출 대피,보은군 삼승면,domestic
S00371,Q24,비CBRN,총기 난사,다게스탄 데르벤트,foreign
S00373,Q27,비CBRN,테러 예고 글,성남시 분당구,domestic
S00379,Q09,산업,유독가스 누출 대피,서천군 서천읍,domestic
S00384,Q02,산업,암모니아 누출 사고,오산시 부산동,domestic
S00387,Q27,비CBRN,테러 예고 글,성남시 분당구,domestic
S00396,Q09,산업,유독가스 누출 대피,서천군 서천읍,domestic
S00398,Q27,비CBRN,테러 예고 글,타이베이,foreign_by_text
S00399,Q08,산업,질산 누출,포항시 남구,domestic
S00408,Q04,산업,황산 유출 사고,제주시 영평동,domestic
S00412,Q23,비CBRN,드론 공격,키이우,foreign
S00413,Q24,비CBRN,총기 난사,시드니,foreign_by_text
S00416,Q09,산업,유독가스 누출 대피,부산 사상구,domestic
S00420,Q07,산업,톨루엔 누출,여수시 화치동,domestic
S00425,Q09,산업,유독가스 누출 대피,서천군 서천읍,domestic
S00431,Q19,안보,노비촉,살레하르트,foreign_by_text
S00436,Q08,산업,질산 누출,포항시 남구,domestic
S00437,Q09,산업,유독가스 누출 대피,봉화군 석포면,domestic
S00441,Q07,산업,톨루엔 누출,대전,domestic
S00450,Q09,산업,유독가스 누출 대피,김포시 하성면,domestic
S00454,Q08,산업,질산 누출,포항시 남구,domestic
S00455,Q26,비CBRN,폭발물 협박,서울 용산구,domestic
S00457,Q22,비CBRN,사제폭탄,카이버 파크툰크와,foreign_by_text
S00459,Q08,산업,질산 누출,군산시,domestic
S00460,Q25,비CBRN,차량 돌진 테러,밴쿠버,foreign_by_text
S00463,Q24,비CBRN,총기 난사,프라하,unknown
S00464,Q26,비CBRN,폭발물 협박,,foreign_by_text
S00466,Q24,비CBRN,총기 난사,뉴욕 브루클린,foreign
S00473,Q02,산업,암모니아 누출 사고,김포시 하성면,domestic
S00475,Q24,비CBRN,총기 난사,시드니,foreign_by_text
S00477,Q16,안보,방사능 유출,자포리자,foreign
S00481,Q02,산업,암모니아 누출 사고,부천시 도당동,domestic
S00484,Q05,산업,화학공장 폭발,여수시,domestic
S00485,Q07,산업,톨루엔 누출,여수시,domestic
S00487,Q05,산업,화학공장 폭발,여수시,domestic
S00489,Q23,비CBRN,드론 공격,호르무즈 해협,foreign_by_text
S00491,Q19,안보,노비촉,러시아,foreign
S00492,Q04,산업,황산 유출 사고,제주시 용담동,domestic
S00493,Q24,비CBRN,총기 난사,텍사스 앨런,foreign_by_text
S00496,Q21,비CBRN,폭발물 테러,서울 중구,domestic
S00501,Q28,비CBRN,다중이용시설 테러,부산,domestic
S00503,Q26,비CBRN,폭발물 협박,서울 구로구,domestic
S00504,Q07,산업,톨루엔 누출,여수시,domestic
S00506,Q22,비CBRN,사제폭탄,광주,domestic
S00508,Q23,비CBRN,드론 공격,오데사,foreign
S00509,Q03,산업,염소 가스 누출,인천 서구 석남동,domestic
S00510,Q09,산업,유독가스 누출 대피,화성시,domestic
S00513,Q04,산업,황산 유출 사고,정읍시,domestic
S00514,Q26,비CBRN,폭발물 협박,서울 중구,domestic
S00521,Q02,산업,암모니아 누출 사고,오산시 부산동,domestic
S00527,Q16,안보,방사능 유출,이란,foreign
S00528,Q08,산업,질산 누출,안동시 임동면,domestic
S00531,Q29,비CBRN,공항 폭발물 신고,시카고,foreign_by_text
S00534,Q04,산업,황산 유출 사고,군산시 오식도동,domestic
S00535,Q29,비CBRN,공항 폭발물 신고,제주공항,domestic
S00536,Q29,비CBRN,공항 폭발물 신고,블라디보스토크,foreign_by_text
S00537,Q01,산업,불산 누출,군산시 오식도동,domestic
S00539,Q02,산업,암모니아 누출 사고,울산 남구,domestic
S00547,Q27,비CBRN,테러 예고 글,인천 연수구,domestic
S00549,Q08,산업,질산 누출,군산시,domestic
S00550,Q24,비CBRN,총기 난사,농부아람푸,foreign_by_text
S00552,Q08,산업,질산 누출,전주시,domestic
S00553,Q26,비CBRN,폭발물 협박,서울 영등포구,domestic
S00554,Q26,비CBRN,폭발물 협박,서울,domestic
S00557,Q01,산업,불산 누출,군산시 소룡동,domestic
S00559,Q29,비CBRN,공항 폭발물 신고,,unknown
S00561,Q25,비CBRN,차량 돌진 테러,성남시 분당구,domestic
S00565,Q25,비CBRN,차량 돌진 테러,성남시 분당구,domestic
S00567,Q25,비CBRN,차량 돌진 테러,독일,foreign
S00575,Q29,비CBRN,공항 폭발물 신고,시카고,foreign_by_text
