qid,block,n,EVENT,macro_f1,event_f1,pE_true,pE_pred
Q01,industrial,100,40,0.7280446621651441,0.8433734939759037,0.4,0.43
Q02,industrial,100,50,0.8415733134179735,0.9514563106796117,0.5,0.53
Q03,industrial,100,35,0.7361197487958051,0.8732394366197183,0.35,0.36
Q04,industrial,100,69,0.6821258672322502,0.9787234042553191,0.69,0.72
Q05,industrial,100,47,0.4821656111978692,0.8571428571428571,0.47,0.58
Q06,industrial,67,6,0.5841258741258741,0.9090909090909091,0.08955223880597014,0.07462686567164178
Q07,industrial,100,40,0.7437531636387085,0.926829268292683,0.4,0.42
Q08,industrial,100,73,0.5989931107578166,0.9459459459459459,0.73,0.75
Q09,industrial,100,55,0.5306591337099812,0.864406779661017,0.55,0.63
Q10,industrial,100,3,0.46424242424242423,0.4,0.03,0.02
Q11,security,100,11,0.45684785306527675,0.23529411764705882,0.11,0.06
Q12,security,41,3,0.44229885057471263,0.5714285714285714,0.07317073170731707,0.0975609756097561
Q13,security,100,1,0.637280701754386,1.0,0.01,0.01
Q14,security,100,7,0.4528756957328386,0.6666666666666666,0.07,0.05
Q15,security,100,7,0.12924590163934427,0.0,0.07,0.0
Q16,security,100,28,0.4554532062652196,0.3783783783783784,0.28,0.09
Q17,security,100,4,0.33632700516551234,0.6,0.04,0.06
Q18,security,59,7,0.3448680351906158,0.45161290322580644,0.11864406779661017,0.4067796610169492
Q19,security,100,25,0.3360568842921784,0.07692307692307693,0.25,0.01
Q20,security,100,2,0.5598693693693695,0.0,0.02,0.01
Q21,conventional,100,48,0.6764670112496199,0.8260869565217391,0.48,0.44
Q22,conventional,100,40,0.707358971198488,0.8666666666666667,0.4,0.5
Q23,conventional,100,22,0.41443140193140193,0.5714285714285714,0.22,0.13
Q24,conventional,100,53,0.6352219732802258,0.8932038834951457,0.53,0.5
Q25,conventional,100,59,0.46001084909522644,0.847457627118644,0.59,0.59
Q26,conventional,100,69,0.6350569855295172,0.9051094890510949,0.69,0.68
Q27,conventional,100,53,0.791065791065791,0.8828828828828829,0.53,0.58
Q28,conventional,100,7,0.49885714285714283,1.0,0.07,0.07
Q29,conventional,100,55,0.4947058823529412,0.8235294117647058,0.55,0.64
Q30,conventional,100,3,0.46648351648351644,0.25,0.03,0.05
