seed,frac,macro_f1
0,0.25,0.5367334575699594
0,0.5,0.63923292090867
0,0.75,0.6447615887012843
0,1.0,0.6836353671717733
1,0.25,0.6522398194917949
1,0.5,0.6548864598240398
1,0.75,0.7298734933595269
1,1.0,0.7227527823400465
2,0.25,0.6412174789780102
2,0.5,0.6659204332707612
2,0.75,0.738478346009859
2,1.0,0.7192214676605487
3,0.25,0.5483819315746039
3,0.5,0.676796918893843
3,0.75,0.6922266878442583
3,1.0,0.6972994473781192
4,0.25,0.6187970674719193
4,0.5,0.6340890480355156
4,0.75,0.6578730362006491
4,1.0,0.6942428254754681
5,0.25,0.5540186607967835
5,0.5,0.6865038220814241
5,0.75,0.7233323773386326
5,1.0,0.7282704219469387
6,0.25,0.5330721345815874
6,0.5,0.6782673412905972
6,0.75,0.6998362565965561
6,1.0,0.7104079752873194
7,0.25,0.5721128261057009
7,0.5,0.6564515832039842
7,0.75,0.6913865036966371
7,1.0,0.6922587414556691
8,0.25,0.6415336299984764
8,0.5,0.6894783064031853
8,0.75,0.7233661740558293
8,1.0,0.7277861979271236
9,0.25,0.6192892259431193
9,0.5,0.6743252872611702
9,0.75,0.6874214192401166
9,1.0,0.7248255988908346
